Module Name,Test Case Name
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_IdleStatusInMemberProfile
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_MemberStatusIdleMembersOnboardingStatusMember
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_PHIConsentDetailsOfTheMemberInIdleStatus
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_PreviousHistoryOfAttendanceInTrackerTab
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_SearchIdleMembersViaAccountStatusFilterOption
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_TrackingClaimsForIdleMembers
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeCity
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberIDFromUIAndCompareWithDBAreSame
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberProfileCityFromProviderAndVerifyInMemberPortal
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberProfileDOBFromProviderAndVerifyInMemberPortal
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberProfileEmailFromProviderAndVerifyInProviderPortal
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberProfileFirstnameLastnameFromProviderAndVerifyInCoachPortal
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ChangeMemberProfileFirstnameLastnameFromProviderAndVerifyInMemberSettingsPage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ClearEmailFromTheMemberProfileAndValidateEmailRequiredErrorMessage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ClickOnMemberTabAllOptionShouldBeDefaultInSearchDropdown
/Real Appeal/HFOps/Member,RA_HFOPS_Member_ClickOnMemberTabMemberNameShouldBeAscendingOrderInMemberListPage
/Real Appeal/HFOps/Member,RA_HFOPS_Member_Coachsort
/Real Appeal/HFOps/Member,RA_HFOPS_Member_CompareCoachProfileDetailsWithInputDataAndDB
/Real Appeal/HFOps/Member,RA_HFOPS_Member_CompareFirstnameAloneFromUIAndDB
